id,title,chunk-id,content,content_dense_vector,content_sparse_vector,doc_id
001,亚瑟,1,技能介绍-被动: 亚瑟的被动提供持续回复能力，适合在对线期通过换血后拉开距离恢复状态。知识点: 使用亚瑟时可以利用被动续航频繁清线，但不要在残血时盲目进草，避免被爆发型刺客收割。,,,D001
002,亚瑟,2,技能介绍-一技能: 亚瑟一技能提供加速、沉默和强化普攻，适合用于先手打断敌方法师或射手的关键技能。连招建议: 一技能接近后接二技能持续伤害，再用大招完成斩杀或留人。,,,D001
003,亚瑟,3,玩法攻略-团战: 亚瑟在团战中不一定要第一个冲进人群，更适合从侧翼切入，利用沉默限制敌方核心输出。若敌方控制较多，应等待队友先手或敌人交出位移后再进场。,,,D001
004,妲己,1,技能介绍-被动: 妲己的技能命中会降低目标法术防御，使后续技能伤害更高。知识点: 妲己爆发依赖完整技能命中，蹲草和视野压制比正面硬追更重要。,,,D002
005,妲己,2,连招说明: 妲己常用连招为二技能控制目标，接三技能多段伤害，最后用一技能补足伤害。若目标有净化或位移，应先观察其关键技能是否交出，再决定是否闪现开团。,,,D002
006,妲己,3,出装思路: 妲己适合选择提升法术爆发和穿透的装备，核心目标是秒杀脆皮。逆风时可以优先保证冷却和生存，利用草丛视野帮助队伍抓单，而不是盲目清线暴露位置。,,,D002
007,后羿,1,技能介绍-普攻机制: 后羿依赖持续普攻输出，攻速和站位是核心。对线期应利用射程和辅助保护稳定发育，避免在没有视野时压线过深。,,,D003
008,后羿,2,技能介绍-大招: 后羿大招可以远距离开团或支援边路，命中距离越远控制时间越长。使用时应结合小地图判断敌方走位，优先瞄准正在带线或残血回撤的目标。,,,D003
009,后羿,3,团战站位: 后羿团战必须站在前排和辅助身后，不要为了追击残血离开保护范围。若敌方有兰陵王、阿轲等切后英雄，应保留闪现并提前靠近防御塔或队友。,,,D003
010,鲁班七号,1,技能介绍-被动: 鲁班七号释放技能后会触发扫射，扫射是主要输出来源。操作重点是技能穿插普攻，不要把所有技能一次性交完后站桩等待冷却。,,,D004
011,鲁班七号,2,对线技巧: 鲁班七号清线速度快，但自保能力较弱。对线期应尽量靠近己方辅助和防御塔，使用二技能探草或击退贴脸敌人，减少被刺客绕后击杀的风险。,,,D004
012,鲁班七号,3,出装思路: 鲁班七号通常围绕暴击、攻速和物理穿透构建装备。面对高爆发刺客时，可以考虑更早补防御或保命装备，提高团战容错率。,,,D004
013,孙尚香,1,技能介绍-一技能: 孙尚香一技能翻滚后强化下一次普攻，是位移、消耗和爆发的核心。翻滚方向应优先保证安全，不要只为了打伤害向敌方阵型深处翻滚。,,,D005
014,孙尚香,2,连招说明: 孙尚香常用消耗方式是一技能翻滚接强化普攻，再接二技能减速和增加伤害，最后用大招补伤害。对线时可以利用草丛隐藏翻滚方向，提高命中率。,,,D005
015,孙尚香,3,团战思路: 孙尚香团战要保持拉扯，用一技能调整输出位置。敌方突进英雄未出现时不要过早交位移，优先攻击安全范围内的前排，再寻找机会点杀后排。,,,D005
